username,firstname,lastname,email,password,cohort1
director.silva,Marta,Silva,marta.silva@aicda.edu,AiCda2026!,directors
admin.rossi,Giulia,Rossi,giulia.rossi@aicda.edu,AiCda2026!,admin_staff
admin.bianchi,Marco,Bianchi,marco.bianchi@aicda.edu,AiCda2026!,admin_staff
inst.turing,Alan,Turing,alan.turing@aicda.edu,AiCda2026!,instructors
inst.hopper,Grace,Hopper,grace.hopper@aicda.edu,AiCda2026!,instructors
inst.shamir,Adi,Shamir,adi.shamir@aicda.edu,AiCda2026!,instructors
inst.mitnick,Kevin,Mitnick,kevin.mitnick@aicda.edu,AiCda2026!,instructors
inst.zhang,Wei,Zhang,wei.zhang@aicda.edu,AiCda2026!,instructors
ai.001,Lucas,Garcia,lucas.garcia@student.aicda.edu,AiCda2026!,ai_students
ai.002,Sofia,Martinez,sofia.martinez@student.aicda.edu,AiCda2026!,ai_students
ai.003,Aiden,Brown,aiden.brown@student.aicda.edu,AiCda2026!,ai_students
ai.004,Emma,Wilson,emma.wilson@student.aicda.edu,AiCda2026!,ai_students
ai.005,Noah,Johnson,noah.johnson@student.aicda.edu,AiCda2026!,ai_students
ai.006,Olivia,Davis,olivia.davis@student.aicda.edu,AiCda2026!,ai_students
ai.007,Liam,Miller,liam.miller@student.aicda.edu,AiCda2026!,ai_students
ai.008,Ava,Anderson,ava.anderson@student.aicda.edu,AiCda2026!,ai_students
ai.009,Mateo,Lopez,mateo.lopez@student.aicda.edu,AiCda2026!,ai_students
ai.010,Isabella,Romano,isabella.romano@student.aicda.edu,AiCda2026!,ai_students
ai.011,Ethan,Taylor,ethan.taylor@student.aicda.edu,AiCda2026!,ai_students
ai.012,Mia,Conti,mia.conti@student.aicda.edu,AiCda2026!,ai_students
ai.013,Hiroshi,Tanaka,hiroshi.tanaka@student.aicda.edu,AiCda2026!,ai_students
ai.014,Yuki,Suzuki,yuki.suzuki@student.aicda.edu,AiCda2026!,ai_students
ai.015,Priya,Sharma,priya.sharma@student.aicda.edu,AiCda2026!,ai_students
ai.016,Arjun,Patel,arjun.patel@student.aicda.edu,AiCda2026!,ai_students
ai.017,Chloe,Dubois,chloe.dubois@student.aicda.edu,AiCda2026!,ai_students
ai.018,Lucas,Moreau,lucas.moreau@student.aicda.edu,AiCda2026!,ai_students
ai.019,Anna,Schmidt,anna.schmidt@student.aicda.edu,AiCda2026!,ai_students
ai.020,Felix,Mueller,felix.mueller@student.aicda.edu,AiCda2026!,ai_students
ai.021,Maya,Singh,maya.singh@student.aicda.edu,AiCda2026!,ai_students
ai.022,Carlos,Reyes,carlos.reyes@student.aicda.edu,AiCda2026!,ai_students
ai.023,Valentina,Costa,valentina.costa@student.aicda.edu,AiCda2026!,ai_students
ai.024,Diego,Hernandez,diego.hernandez@student.aicda.edu,AiCda2026!,ai_students
ai.025,Lara,Petrov,lara.petrov@student.aicda.edu,AiCda2026!,ai_students
ai.026,Ivan,Volkov,ivan.volkov@student.aicda.edu,AiCda2026!,ai_students
ai.027,Nora,Andersen,nora.andersen@student.aicda.edu,AiCda2026!,ai_students
ai.028,Henrik,Larsen,henrik.larsen@student.aicda.edu,AiCda2026!,ai_students
ai.029,Layla,Hassan,layla.hassan@student.aicda.edu,AiCda2026!,ai_students
ai.030,Omar,Khaled,omar.khaled@student.aicda.edu,AiCda2026!,ai_students
ai.031,Zara,Ahmed,zara.ahmed@student.aicda.edu,AiCda2026!,ai_students
ai.032,Min-Jun,Park,minjun.park@student.aicda.edu,AiCda2026!,ai_students
ai.033,Seo-Yeon,Kim,seoyeon.kim@student.aicda.edu,AiCda2026!,ai_students
ai.034,Bruno,Esposito,bruno.esposito@student.aicda.edu,AiCda2026!,ai_students
cy.001,Ada,Lovelace,ada.lovelace@student.aicda.edu,AiCda2026!,cyber_students
cy.002,Bruce,Schneier,bruce.schneier@student.aicda.edu,AiCda2026!,cyber_students
cy.003,Linus,Torres,linus.torres@student.aicda.edu,AiCda2026!,cyber_students
cy.004,Mara,Lupo,mara.lupo@student.aicda.edu,AiCda2026!,cyber_students
cy.005,Hugo,Ferrari,hugo.ferrari@student.aicda.edu,AiCda2026!,cyber_students
cy.006,Iris,Rinaldi,iris.rinaldi@student.aicda.edu,AiCda2026!,cyber_students
cy.007,Theo,Marino,theo.marino@student.aicda.edu,AiCda2026!,cyber_students
cy.008,Greta,Galli,greta.galli@student.aicda.edu,AiCda2026!,cyber_students
cy.009,Jonas,Weber,jonas.weber@student.aicda.edu,AiCda2026!,cyber_students
cy.010,Pia,Schulz,pia.schulz@student.aicda.edu,AiCda2026!,cyber_students
cy.011,Daniel,Becker,daniel.becker@student.aicda.edu,AiCda2026!,cyber_students
cy.012,Eva,Hoffmann,eva.hoffmann@student.aicda.edu,AiCda2026!,cyber_students
cy.013,Pablo,Ortega,pablo.ortega@student.aicda.edu,AiCda2026!,cyber_students
cy.014,Lucia,Vega,lucia.vega@student.aicda.edu,AiCda2026!,cyber_students
cy.015,Ramon,Castro,ramon.castro@student.aicda.edu,AiCda2026!,cyber_students
cy.016,Inma,Soler,inma.soler@student.aicda.edu,AiCda2026!,cyber_students
cy.017,Jin,Wang,jin.wang@student.aicda.edu,AiCda2026!,cyber_students
cy.018,Mei,Li,mei.li@student.aicda.edu,AiCda2026!,cyber_students
cy.019,Haruki,Sato,haruki.sato@student.aicda.edu,AiCda2026!,cyber_students
cy.020,Rin,Watanabe,rin.watanabe@student.aicda.edu,AiCda2026!,cyber_students
